Player,Player_ID,Career_Span,Matches_Played,Runs_Conceded,Wickets_Total,Bowling_Average,Economy_Rate,Strike_Rate,Five_Wickets,Ten_Wickets
NA Mallender (ENG),16886,1992-1992,2,215,10,21.5,2.87,44.9,1,0
V Masekesa (ZIM),1122854,2025-2025,4,462,10,46.2,4.84,57.2,1,0
Mohammad Irfan (PAK),429981,2013-2013,4,389,10,38.9,3.27,71.2,0,0
CT Mumba (ZIM),672775,2016-2020,3,354,10,35.4,3.54,59.9,0,0
LJ Nash (AUS),6915,1932-1937,2,126,10,12.6,2.43,31.1,0,0
PJ Newport (ENG),18012,1988-1991,3,417,10,41.7,3.73,66.9,0,0
RAP Nissanka (SL),49769,2003-2003,4,366,10,36.6,3.74,58.7,1,0
AL Ochse (SA),46674,1928-1929,3,362,10,36.2,3.34,64.9,0,0
NO Perry (WI),52675,1999-1999,4,446,10,44.6,3.32,80.4,1,0
KP Pietersen (ENG),19296,2005-2014,104,886,10,88.6,4.05,131.1,0,0
R Ravindra (NZ),959767,2021-2025,17,446,10,44.6,3.04,87.9,0,0
GF Rorke (AUS),7395,1959-1959,4,203,10,20.3,1.73,70.3,0,0
BS Sandhu (IND),33816,1983-1983,8,557,10,55.7,3.27,102,0,0
Sarandeep Singh (IND),34211,2000-2002,3,340,10,34,3,67.8,0,0
G Sharma (IND),33952,1985-1990,5,418,10,41.8,1.91,130.7,0,0
NG Smith (NZ),959771,2024-2025,3,359,10,35.9,5.03,42.8,0,0
MJ Swepson (AUS),590326,2022-2022,4,458,10,45.8,3.08,89.2,0,0
JO Taylor (WI),53152,1958-1959,3,273,10,27.3,2.43,67.2,1,0
JG Thomas (ENG),21512,1986-1986,5,504,10,50.4,3.9,77.4,0,0
SR Thompson (IRE),414821,2018-2019,3,204,10,20.4,2.98,41,0,0
JW Trumble (AUS),7978,1885-1886,7,222,10,22.2,2.22,60,0,0
P Utseya (ZIM),55820,2004-2013,4,410,10,41,3.26,75.3,0,0
AS Wassan (IND),35939,1990-1990,4,504,10,50.4,4.24,71.2,0,0
M Watkinson (ENG),22328,1995-1996,4,348,10,34.8,3.1,67.2,0,0
SMJ Woods (AUS/ENG),22492,1888-1896,6,250,10,25,3.64,41.2,0,0
Codi Yusuf (SA),949461,2025-2025,2,122,10,12.2,2.59,28.2,0,0
AC Agar (AUS),505120,2013-2023,5,468,9,52,2.79,111.7,0,0
Al-Amin Hossain (BAN),511532,2013-2019,7,545,9,60.55,3.21,112.8,0,0
BJ Arnel (NZ),36194,2010-2012,6,566,9,62.88,3.36,112,0,0
DD Beard (NZ),36290,1952-1956,4,302,9,33.55,2.24,89.5,0,0
R Berry (ENG),9079,1950-1950,2,228,9,25.33,2.09,72.5,1,0
IDR Bradshaw (WI),51246,2006-2006,5,540,9,60,3.17,113.4,0,0
S Chanderpaul (WI),51469,1994-2015,164,883,9,98.11,3.04,193.3,0,0
WH Cooper (AUS),4626,1881-1884,2,226,9,25.11,3.04,49.5,1,0
M de Lange (SA),393279,2011-2012,2,277,9,30.77,3.7,49.7,1,0
B Dooland (AUS),4971,1947-1948,3,419,9,46.55,2.85,97.7,0,0
R Dumbrill (SA),44730,1965-1967,5,336,9,37.33,2.47,90.6,0,0
T Emmett (ENG),12518,1877-1882,7,284,9,31.55,2.34,80.8,1,0
SM Ervine (ZIM),55414,2003-2004,5,388,9,43.11,4.08,63.3,0,0
MLC Foster (WI),51793,1969-1978,14,600,9,66.66,2.02,197.3,0,0
ZG Foulkes (NZ),1202098,2025-2025,1,75,9,8.33,3,16.6,1,0
WG Grace (ENG),13424,1880-1899,22,236,9,26.22,2.12,74,0,0
JM Holland (AUS),230368,2016-2018,4,574,9,63.77,3.58,106.6,0,0
RA Hutton (ENG),14336,1971-1971,5,257,9,28.55,2.08,82,0,0
ML Jaisimha (IND),29663,1959-1971,39,829,9,92.11,2.37,233,0,0
Kabir Khan (PAK),41026,1994-1995,4,370,9,41.11,3.38,72.7,0,0
JM Kemp (SA),45797,2001-2005,4,222,9,24.66,2.78,53.2,0,0
LA King (WI),52293,1962-1968,2,154,9,17.11,1.94,52.8,1,0
GF Linde (SA),481875,2019-2021,3,252,9,28,3.19,52.5,1,0
AB McDonald (AUS),6553,2009-2009,4,300,9,33.33,2.45,81.3,0,0
A Mithun (IND),310958,2010-2011,4,456,9,50.66,3.8,80,0,0
Mohammad Talha (PAK),227771,2009-2014,4,504,9,56,4.08,82.2,0,0
Munir Malik (PAK),41313,1959-1962,3,358,9,39.77,3.14,76,1,0
CK Nayudu (IND),31811,1932-1936,7,386,9,42.88,2.69,95.3,0,0
Nijat Masood (AFG),913843,2023-2024,3,308,9,34.22,4.41,46.5,1,0
GWF Overton (NZ),38065,1953-1954,3,258,9,28.66,2.12,81,0,0
SM Patil (IND),32283,1980-1984,29,240,9,26.66,2.23,71.6,0,0
MB Poore (NZ),38130,1953-1956,14,367,9,40.77,2.79,87.5,0,0
JE Pothecary (SA),46781,1960-1960,3,354,9,39.33,2.56,92,0,0
CR Rangachari (IND),33088,1948-1948,4,493,9,54.77,3.49,94,1,0
KTH Ratnayake (SL),950405,2025-2025,2,389,9,43.22,3.86,67.1,0,0
HJ Rhodes (ENG),19372,1959-1959,2,244,9,27.11,3.26,49.8,0,0
MA Seymour (SA),47179,1963-1970,7,588,9,65.33,2.41,162,0,0
MW Sievers (AUS),7614,1936-1937,3,161,9,17.88,1.6,66.8,1,0
K Sinclair (WI),1206110,2024-2025,4,384,9,42.66,4.17,61.3,0,0
SC Stayers (WI),52947,1962-1962,4,364,9,40.44,3.43,70.6,0,0
Subashis Roy (BAN),301847,2017-2017,4,465,9,51.66,3.72,83.2,0,0
NI Thomson (ENG),21533,1964-1965,5,568,9,63.11,2.29,165.3,0,0
LL Tsotsobe (SA),47666,2010-2011,5,448,9,49.77,3.08,96.6,0,0
KP Walmsley (NZ),38740,1995-2000,3,391,9,43.44,3.03,86,0,0
GC White (SA),47887,1906-1912,17,301,9,33.44,3.62,55.3,0,0
BA Williams (AUS),8231,2003-2004,4,406,9,45.11,2.85,94.6,0,0
EAV Williams (WI),53232,1939-1948,4,241,9,26.77,1.81,88.4,0,0
Yasir Arafat (PAK),43654,2007-2009,3,438,9,48.66,4.19,69.6,1,0
Younis Khan (PAK),43652,2000-2017,118,491,9,54.55,3.66,89.3,0,0
Yuvraj Singh (IND),36084,2003-2012,40,547,9,60.77,3.52,103.4,0,0
EE Achong (WI),51098,1930-1935,6,378,8,47.25,2.47,114.7,0,0
Azhar Ali (PAK),39037,2010-2022,97,621,8,77.62,4.29,108.3,0,0
MC Bird (ENG),9099,1910-1914,10,120,8,15,2.77,32.3,0,0
JT Botten (SA),44109,1965-1965,3,337,8,42.12,2.44,103.5,0,0
N Brand (SA),742489,2024-2024,2,171,8,21.37,4.38,29.2,1,0
JW Burke (AUS),4242,1951-1959,24,230,8,28.75,1.69,101.7,0,0
MC Carew (WI),51465,1963-1972,19,437,8,54.62,2.23,146.7,0,0
GA Cope (ENG),10809,1977-1978,3,277,8,34.62,1.92,108,0,0
IB Cromb (NZ),36618,1931-1932,5,442,8,55.25,2.76,120,0,0
AC Cummins (WI),51488,1993-1994,5,342,8,42.75,3.32,77.2,0,0
LA Dawson (ENG),211855,2016-2025,4,438,8,54.75,2.92,112.2,0,0
EAR de Silva (SL),48456,1985-1991,10,1032,8,129,2.65,291,0,0
R Dhanraj (WI),51649,1994-1996,4,595,8,74.37,3.28,135.8,0,0
GR Dickinson (NZ),36829,1930-1932,3,245,8,30.62,3.25,56.3,0,0
CE Eksteen (SA),44954,1993-2000,7,494,8,61.75,1.92,192,0,0
AJ Fothergill (ENG),12883,1889-1889,2,90,8,11.25,1.68,40.1,0,0
AR Gover (ENG),13416,1936-1946,4,359,8,44.87,2.63,102,0,0
GM Griffin (SA),45247,1960-1960,2,192,8,24,2.66,54,0,0
MJ Guptill (NZ),226492,2009-2016,47,298,8,37.25,4.17,53.5,0,0
JC Hill (AUS),5663,1953-1955,3,273,8,34.12,2.7,75.7,0,0
MJ Humphreys (IRE),1263361,2023-2025,4,182,8,22.75,3.12,43.6,1,0
SD Jack (SA),45711,1994-1995,2,196,8,24.5,2.54,57.7,0,0
Kamrul Islam Rabbi (BAN),375724,2016-2018,7,504,8,63,4.03,93.7,0,0
ESM Kentish (WI),52288,1948-1954,2,178,8,22.25,1.97,67.5,1,0
AK Kuruppuarachchi (SL),49366,1986-1987,2,149,8,18.62,3.28,34,1,0
James Lillywhite jnr (ENG),16296,1877-1877,2,126,8,15.75,2.22,42.5,0,0
SJE Loxton (AUS),6323,1948-1951,12,349,8,43.62,2.31,113.2,0,0
FR Martin (WI),52426,1928-1931,9,619,8,77.37,2.75,168.2,0,0
GJ Maxwell (AUS),325026,2013-2017,7,341,8,42.62,4.42,57.7,0,0
TB Mitchell (ENG),17050,1933-1935,5,498,8,62.25,3.34,111.7,0,0
Mohammad Nabi (AFG),25913,2018-2019,3,254,8,31.75,2.79,68.2,0,0
S Nadeem (IND),31872,2019-2021,2,273,8,34.12,3.57,57.2,0,0
Nasir Hossain (BAN),300618,2011-2017,19,442,8,55.25,2.87,115.5,0,0
K Nitish Kumar Reddy (IND),1175496,2024-2025,9,317,8,39.62,4.17,57,0,0
GM Parker (SA),46728,1924-1924,2,273,8,34.12,4.47,45.7,1,0
HLE Promnitz (SA),46794,1927-1928,2,161,8,20.12,1.82,66,1,0
WB Rankin (ENG/IRE),24599,2014-2019,3,304,8,38,4.11,55.3,0,0
Rashid Khan (PAK),42421,1982-1985,4,360,8,45,2.92,92.2,0,0
CF Root (ENG),19471,1926-1926,3,194,8,24.25,1.81,80.2,0,0
Shuvagata Hom (BAN),402992,2014-2016,8,506,8,63.25,3.58,105.7,0,0
DJ Sincock (AUS),7623,1964-1966,3,410,8,51.25,3.39,90.5,0,0
VRV Singh (IND),35281,2006-2007,5,427,8,53.37,3.82,83.6,0,0
GC Smith (ICC/SA),47270,2002-2014,117,885,8,110.62,3.74,177.2,0,0
VT Trumper (AUS),7980,1899-1912,48,317,8,39.62,3.48,68.2,0,0
SD Udal (ENG),22144,2005-2006,4,344,8,43,3.46,74.5,0,0
MN Waller (ZIM),55872,2011-2017,14,218,8,27.25,2.86,57,0,0
BJ Webster (AUS),381329,2025-2025,7,186,8,23.25,3.09,45.1,0,0
TS Worthington (ENG),22526,1930-1937,9,316,8,39.5,2.99,79.1,0,0
CA Young (IRE),364343,2024-2025,4,188,8,23.5,3,47,0,0
KN Amalean (SL),48117,1986-1988,2,156,7,22.28,3.83,34.8,0,0
Amir Elahi (IND/PAK),38997,1947-1952,6,248,7,35.42,3.72,57.1,0,0
WH Ashley (SA),43938,1889-1889,1,95,7,13.57,3.29,24.7,1,0
TD Astle (NZ),213674,2012-2020,5,368,7,52.57,3.31,95.2,0,0
SB Bangar (IND),27225,2001-2002,12,343,7,49,2.7,108.8,0,0
MW Booth (ENG),9152,1913-1914,2,130,7,18.57,2.5,44.5,0,0
G Boycott (ENG),9187,1964-1982,108,382,7,54.57,2.42,134.8,0,0
GB Brent (ZIM),55269,1999-2001,4,314,7,44.85,2.3,116.8,0,0
DW Carr (ENG),10669,1909-1909,1,282,7,40.28,4.08,59.1,1,0
RH Catterall (SA),44427,1922-1931,24,162,7,23.14,2.84,48.8,0,0
PP Chawla (IND),32966,2006-2012,3,270,7,38.57,3.29,70.2,0,0
SH Cook (AUS),4619,1997-1997,2,142,7,20.28,3.8,32,1,0
WPA Crawford (AUS),4656,1956-1956,4,107,7,15.28,1.46,62.4,0,0
EQ Davies (SA),44676,1936-1939,5,481,7,68.71,3.75,109.7,0,0
GRA de Silva (SL),48458,1982-1982,4,385,7,55,2.4,137.4,0,0
XJ Doherty (AUS),5017,2010-2013,4,548,7,78.28,3.58,131.1,0,0
CJ Eady (AUS),5115,1896-1902,2,112,7,16,3.01,31.8,0,0
B Evans (ZIM),696127,2023-2025,2,165,7,23.57,3.2,44.1,1,0
E Evans (AUS),5143,1881-1886,6,332,7,47.42,1.61,176.7,0,0
JA Flavell (ENG),12848,1961-1964,4,367,7,52.42,2.78,113.1,0,0
RC Fredericks (WI),51797,1968-1977,59,548,7,78.28,2.77,169.5,0,0
RA Gaunt (AUS),5372,1958-1964,3,310,7,44.28,2.59,102.2,0,0
A Hill (ENG),14197,1877-1877,2,130,7,18.57,2.29,48.5,0,0
JW Hitch (ENG),14222,1911-1921,7,325,7,46.42,4.22,66,0,0
H Howell (ENG),14284,1920-1924,5,559,7,79.85,3.65,131.1,0,0
MEK Hussey (AUS),5939,2005-2013,79,306,7,43.71,3.12,84,0,0
HL Jackson (ENG),15464,1949-1961,2,155,7,22.14,1.86,71.1,0,0
VV Kumar (IND),30173,1961-1961,2,202,7,28.85,2,86.4,1,0
W Madhevere (ZIM),938959,2021-2025,8,285,7,40.71,3.6,67.7,0,0
Manzoor Elahi (PAK),41262,1984-1995,6,194,7,27.71,2.62,63.4,0,0
AW Mold (ENG),17059,1893-1893,3,234,7,33.42,2.85,70.1,0,0
Mukesh Kumar (IND),926851,2023-2024,3,179,7,25.57,3.78,40.5,0,0
SA Muller (AUS),6665,1999-1999,2,258,7,36.85,4.44,49.7,0,0
N M'shangwe (ZIM),392944,2014-2014,2,435,7,62.14,3.3,112.8,0,0
MG Neser (AUS),376169,2021-2022,2,117,7,16.71,2.49,40.1,0,0
G Noblet (AUS),6933,1950-1953,3,183,7,26.14,1.41,110.5,0,0
SR Patel (ENG),18632,2012-2015,6,421,7,60.14,2.94,122.5,0,0
D Pretorius (SA),327830,2019-2020,3,252,7,36,3.15,68.5,0,0
F Ridgway (ENG),19405,1951-1952,5,379,7,54.14,2.86,113.2,0,0
AW Roberts (NZ),38254,1930-1937,5,209,7,29.85,2.73,65.5,0,0
WV Rodriguez (WI),52820,1962-1968,5,374,7,53.42,3.91,81.8,0,0
MJ Saggers (ENG),20040,2003-2004,3,247,7,35.28,3,70.4,0,0
Salahuddin (PAK),42615,1965-1969,5,187,7,26.71,2.05,78,0,0
CA Smith (ENG),20230,1889-1889,1,61,7,8.71,2.37,22,1,0
DR Smith (WI),53118,2004-2006,10,344,7,49.14,3.17,93,0,0
J Southerton (ENG),20292,1877-1877,2,107,7,15.28,2.44,37.5,0,0
GL Weir (NZ),38747,1930-1937,11,209,7,29.85,3.66,48.8,0,0
AW Wellard (ENG),22357,1937-1938,2,237,7,33.85,3.11,65.1,0,0
AR Whittall (ZIM),55846,1996-1999,10,736,7,105.14,2.82,223.1,0,0
KIW Wijegunawardene (SL),50852,1991-1992,2,147,7,21,2.42,52,0,0
LL Wilkinson (ENG),22434,1938-1939,3,271,7,38.71,2.83,81.8,0,0
P Willey (ENG),22442,1976-1986,26,456,7,65.14,2.5,155.8,0,0
Ziaur Rahman (AFG),1015399,2025-2025,1,97,7,13.85,3.03,27.4,1,0
Abdur Rauf (PAK),39084,2009-2009,3,278,6,46.33,3.7,75,0,0
AR Adams (NZ),36192,2002-2002,1,105,6,17.5,3.31,31.6,0,0
CFW Allcott (NZ),36177,1930-1932,6,541,6,90.16,2.69,201,0,0
Alok Kapali (BAN),56251,2002-2006,17,709,6,118.16,3.85,183.8,0,0
Asif Afridi (PAK),385065,2025-2025,1,94,6,15.66,2.44,38.5,1,0
BJ Bennett (ZIM),1071484,2024-2025,11,335,6,55.83,3.8,88,1,0
MJ Bennett (AUS),4127,1984-1985,3,325,6,54.16,2.93,110.8,0,0
Bilawal Bhatti (PAK),343305,2013-2014,2,291,6,48.5,3.98,73,0,0
GE Bradburn (NZ),36308,1990-2001,7,460,6,76.66,3.18,144.5,0,0
WM Bradley (ENG),9195,1899-1899,2,233,6,38.83,2.23,104.1,1,0
CR Browne (WI),51234,1928-1930,4,288,6,48,2.05,140,0,0
MG Burgess (NZ),36314,1968-1980,50,212,6,35.33,2.55,83,0,0
ST Callaway (AUS),4516,1892-1895,3,142,6,23.66,1.8,78.5,1,0
IW Callen (AUS),4517,1978-1978,1,191,6,31.83,2.6,73.3,0,0
C Campher (IRE),595921,2023-2025,8,388,6,64.66,4.85,80,0,0
TS Chisoro (ZIM),235519,2017-2021,3,333,6,55.5,2.88,115.5,0,0
CB Clarke (WI),51475,1939-1939,3,261,6,43.5,3.43,76,0,0
DJ Colley (AUS),4600,1972-1972,3,312,6,52,2.56,121.5,0,0
TA Copeland (AUS),281974,2011-2011,3,227,6,37.83,2.1,108,0,0
WR Cuttell (ENG),10900,1899-1899,2,73,6,12.16,1.53,47.5,0,0
AC Dale (AUS),4890,1998-1999,2,187,6,31.16,3.22,58,0,0
AR Dell (AUS),4937,1971-1974,2,160,6,26.66,1.71,93.1,0,0
F de Wet (SA),44930,2009-2010,2,186,6,31,2.61,71,0,0
JP Faulkner (AUS),270484,2013-2013,1,98,6,16.33,3.54,27.6,0,0
CM Francois (SA),45074,1922-1923,5,225,6,37.5,1.97,114,0,0
TR Gripper (ZIM),55463,1999-2004,20,509,6,84.83,3.85,132.1,0,0
CG Halse (SA),45399,1964-1964,3,260,6,43.33,2.65,97.8,0,0
Hasibul Hossain (BAN),55909,2000-2001,5,571,6,95.16,4.39,130,0,0
BE Hendricks (SA),379927,2020-2020,1,175,6,29.16,4.54,38.5,1,0
JR Hodges (AUS),5670,1877-1877,2,84,6,14,3.7,22.6,0,0
KW Hough (NZ),37252,1959-1959,2,175,6,29.16,2.27,77,0,0
AP Igglesden (ENG),15380,1989-1994,3,329,6,54.83,3.55,92.5,0,0
Israr Ali (PAK),40579,1952-1959,4,165,6,27.5,3.11,53,0,0
WG Jacks (ENG),897549,2022-2022,2,232,6,38.66,4.25,54.5,1,0
DPMD Jayawardene (SL),49289,1997-2014,149,310,6,51.66,3.15,98.1,0,0
LJ Johnson (AUS),6031,1948-1948,1,74,6,12.33,1.57,47,0,0
SP Jones (AUS),6050,1882-1888,12,112,6,18.66,2.56,43.6,0,0
AR Kapoor (IND),30030,1994-1996,4,255,6,42.5,2.38,107,0,0
RJ Kennedy (NZ),37530,1996-1996,4,380,6,63.33,3.58,106,0,0
JJ Kotze (SA),45833,1902-1907,3,243,6,40.5,3.53,68.8,0,0
SC Kuggeleijn (NZ),539548,2023-2024,3,294,6,49,4.98,59,0,0
TJ Laughlin (AUS),6261,1978-1978,3,262,6,43.66,3.04,86,1,0
M Leyland (ENG),16287,1928-1938,41,585,6,97.5,3.18,183.8,0,0
Liaqat Ali (PAK),41246,1975-1978,5,359,6,59.83,2.66,134.6,0,0
JJ Lyons (AUS),6328,1887-1897,14,149,6,24.83,2.82,52.6,1,0
MJ McCague (ENG),16959,1993-1994,3,390,6,65,3.94,98.8,0,0
S Mahmood (ENG),643885,2022-2022,2,137,6,22.83,2.24,61,0,0
MF Malone (AUS),6474,1977-1977,1,77,6,12.83,1.35,57,1,0
Mohammad Ali (PAK),1158175,2022-2024,4,406,6,67.66,3.9,104,0,0
CD Matthews (AUS),6523,1986-1988,3,313,6,52.16,3.29,95,0,0
DJ Meintjes (SA),46217,1923-1923,2,115,6,19.16,2.8,41,0,0
EA Moseley (WI),52437,1990-1990,2,261,6,43.5,3,87,0,0
NT Nyamhuri (ZIM),1409283,2024-2025,4,319,6,53.16,3.93,81,0,0
SP O'Donnell (AUS),6995,1985-1985,6,504,6,84,3.21,156.6,0,0
KMA Paul (WI),677081,2018-2019,3,189,6,31.5,3.31,57,0,0
RR Powar (IND),32391,2007-2007,2,118,6,19.66,2.8,42,0,0
D Pretorius (SA),46784,2002-2003,4,430,6,71.66,4.52,95,0,0
HD Read (ENG),19349,1935-1935,1,200,6,33.33,4.44,45,0,0
JB Robertson (SA),46991,1935-1936,3,321,6,53.5,2.6,123,0,0
MWW Selvey (ENG),20105,1976-1977,3,343,6,57.16,4.18,82,0,0
T Shamsi (SA),379145,2016-2018,2,278,6,46.33,3.45,80.5,0,0
SK Sharma (IND),33963,1988-1990,2,247,6,41.16,3.57,69,0,0
DR Smith (ENG),20236,1961-1962,5,359,6,59.83,2.21,162,0,0
P Subrayen (SA),437438,2025-2025,2,178,6,29.66,3.25,54.6,0,0
LF Townsend (ENG),21568,1930-1934,4,205,6,34.16,3.08,66.5,0,0
S van Zyl (SA),267479,2014-2016,12,148,6,24.66,2.2,67.1,0,0
MP Vaughan (ENG),22182,1999-2008,82,561,6,93.5,3.44,163,0,0
KA Walter (SA),47863,1961-1961,2,197,6,32.83,2.38,82.5,0,0
A Warren (ENG),22314,1905-1905,1,113,6,18.83,2.87,39.3,1,0
GD Watson (AUS),8176,1966-1972,5,254,6,42.33,2.76,92,0,0
JT Willoughby (SA),47904,1896-1896,2,159,6,26.5,3.46,45.8,0,0
Aftab Ahmed (BAN),56266,2004-2010,16,237,5,47.4,4.13,68.8,0,0
Kabir Ali (ENG),8476,2003-2003,1,136,5,27.2,3.77,43.2,0,0
IBA Allen (WI),51105,1991-1991,2,180,5,36,3.82,56.4,0,0
ZS Ansari (ENG),349853,2016-2016,3,275,5,55,4.04,81.6,0,0
LS Baker (WI),51431,2008-2009,4,395,5,79,3.59,132,0,0
SA Banerjee (IND),26849,1948-1949,1,181,5,36.2,3.54,61.2,0,0
SN Banerjee (IND),26851,1949-1949,1,127,5,25.4,2.79,54.6,0,0
F Barratt (ENG),9007,1929-1930,5,235,5,47,1.88,150,0,0
W Brockwell (ENG),9233,1893-1899,7,309,5,61.8,3.18,116.4,0,0
BF Butcher (WI),51239,1958-1969,44,90,5,18,2.1,51.2,1,0
GA Chevalier (SA),44438,1970-1970,1,100,5,20,2.37,50.6,0,0
AG Chipperfield (AUS),4570,1934-1938,14,437,5,87.4,2.83,184.8,0,0
GJ Cosier (AUS),4629,1975-1978,18,341,5,68.2,2.27,179.8,0,0
KM Dabengwa (ZIM),55388,2005-2005,3,249,5,49.8,3.41,87.6,0,0
AC Dawson (SA),44682,2003-2003,2,117,5,23.4,2.78,50.4,0,0
JA Dunning (NZ),36842,1933-1937,4,493,5,98.6,3.56,166,0,0
FJ Durston (ENG),11963,1921-1921,1,136,5,27.2,4.03,40.4,0,0
Ehsan Adil (PAK),547092,2013-2015,3,263,5,52.6,3.28,96.2,0,0
SH Emery (AUS),5140,1912-1912,4,249,5,49.8,3.23,92.4,0,0
Fahim Muntasir (BAN),55887,2002-2002,3,342,5,68.4,3.56,115.2,0,0
D Ganesh (IND),28774,1997-1997,4,287,5,57.4,3.73,92.2,0,0
T Gwandu (ZIM),1038205,2024-2025,3,354,5,70.8,5.13,82.8,0,0
C Heseltine (ENG),14171,1896-1896,2,84,5,16.8,3.21,31.4,1,0
RR Kulkarni (IND),30151,1986-1987,3,227,5,45.4,3.72,73.2,0,0
UN Kulkarni (IND),30154,1967-1968,4,238,5,47.6,3.18,89.6,0,0
MKGCP Lakshitha (SL),49598,2002-2002,2,158,5,31.6,3.29,57.6,0,0
PK Lee (AUS),6280,1931-1933,2,212,5,42.4,2.91,87.2,0,0
ACI Lock (ZIM),55560,1995-1995,1,105,5,21,3.5,36,0,0
KS Lokuarachchi (SL),49557,2003-2004,4,295,5,59,2.97,118.8,0,0
PE McIntyre (AUS),6573,1995-1996,2,194,5,38.8,2.96,78.6,0,0
Mahbubul Alam (BAN),56032,2008-2008,4,314,5,62.8,3.2,117.4,0,0
Manjural Islam Rana (BAN),55991,2004-2004,6,401,5,80.2,3.21,149.8,0,0
AK Markram (SA),600498,2017-2025,48,282,5,56.4,3.15,107.4,0,0
Mohammad Shahid (BAN),537154,2015-2015,5,288,5,57.6,2.74,126,0,0
RW Morgan (NZ),37727,1965-1972,20,609,5,121.8,3.28,222.8,0,0
Nazmul Hossain (BAN),56056,2004-2011,2,194,5,38.8,3.53,65.8,0,0
J Nyumbu (ZIM),55666,2014-2016,3,379,5,75.8,3.42,132.6,1,0
ML Page (NZ),38109,1930-1937,14,231,5,46.2,3.65,75.8,0,0
RT Ponting (AUS),7133,1995-2012,168,276,5,55.2,2.82,117.4,0,0
MW Pringle (SA),46790,1992-1995,4,270,5,54,2.48,130.4,0,0
V Razdan (IND),33151,1989-1989,2,141,5,28.2,3.52,48,1,0
A Rose-Innes (SA),46996,1889-1889,2,89,5,17.8,4.17,25.6,1,0
JD Ryder (NZ),38373,2008-2011,18,280,5,56,3.41,98.4,0,0
Saleem Malik (PAK),42623,1982-1999,103,414,5,82.8,3.38,146.8,0,0
Sanuar Hossain (BAN),56107,2001-2003,9,310,5,62,4.18,88.8,0,0
BV Sears (NZ),959769,2024-2024,1,161,5,32.2,4.87,39.6,0,0
Shoaib Mohammad (PAK),42658,1983-1995,45,170,5,34,2.57,79.2,0,0
MJF Shrimpton (NZ),38388,1963-1974,10,158,5,31.6,3.68,51.4,0,0
CK Singh (WI),52935,1960-1960,2,166,5,33.2,1.96,101.2,0,0
Sohail Tanvir (PAK),43265,2007-2007,2,316,5,63.2,3.76,100.8,0,0
JT Sparling (NZ),38399,1958-1964,11,327,5,65.4,2.77,141.6,0,0
GB Stevenson (ENG),20363,1980-1981,2,183,5,36.6,3.51,62.4,0,0
SW Tait (AUS),8076,2005-2008,3,302,5,60.4,4.37,82.8,0,0
HW Taylor (SA),47535,1912-1932,42,156,5,31.2,2.73,68.4,0,0
M Theekshana (SL),1138316,2022-2022,2,188,5,37.6,3.09,73,0,0
PIC Thompson (WI),53130,1996-1997,2,215,5,43,5.65,45.6,0,0
IJL Trott (ENG),47623,2009-2015,52,400,5,80,3.38,141.6,0,0
JDF Vandersay (SL),370040,2022-2025,2,250,5,50,5.2,57.6,0,0
GH Vihari (IND),452044,2018-2022,16,180,5,36,3.13,69,0,0
BGK Walker (NZ),38737,2000-2002,5,399,5,79.8,3.57,133.8,0,0
CL White (AUS),8291,2008-2008,4,342,5,68.4,3.67,111.6,0,0
T Yohannan (IND),36080,2001-2002,3,256,5,51.2,3.16,97.2,0,0
Zakir Khan (PAK),43703,1986-1989,2,259,5,51.8,3.5,88.8,0,0
JP Agnew (ENG),8501,1984-1985,3,373,4,93.25,4.05,138,0,0
FE Allan (AUS),3950,1879-1879,1,80,4,20,2.66,45,0,0
B Arun (IND),26293,1986-1987,2,116,4,29,2.76,63,0,0
Asif Mujtaba (PAK),39013,1986-1997,25,303,4,75.75,2.72,166.5,0,0
AC Bannerman (AUS),4089,1879-1893,28,163,4,40.75,3.34,73,0,0
SG Barnes (AUS),4098,1938-1948,13,218,4,54.5,2.2,148.5,0,0
JE Benjamin (ENG),9069,1994-1994,1,80,4,20,2.85,42,0,0
DE Bernard (WI),51300,2003-2009,3,185,4,46.25,4.3,64.5,0,0
AR Bhat (IND),26928,1983-1983,2,151,4,37.75,2.06,109.5,0,0
J Blackwood (WI),431909,2014-2023,56,264,4,66,3.48,113.5,0,0
SG Borthwick (ENG),310519,2014-2014,1,82,4,20.5,6.3,19.5,0,0
HR Bromley-Davenport (ENG),9237,1896-1899,4,98,4,24.5,3.79,38.7,0,0
RP Burl (ZIM),495964,2017-2021,3,107,4,26.75,2.81,57,0,0
R Clarke (ENG),11724,2003-2003,2,60,4,15,2.06,43.5,0,0
HL Collins (AUS),4602,1920-1926,19,252,4,63,2.31,163.5,0,0
CS Cowdrey (ENG),10843,1984-1988,6,309,4,77.25,4.64,99.7,0,0
JL Cox (SA),44474,1913-1914,3,245,4,61.25,2.55,144,0,0
RA Duff (AUS),4985,1902-1905,22,85,4,21.25,2.83,45,0,0
GD Elliott (NZ),44956,2008-2009,5,140,4,35,2.97,70.5,0,0
KHRK Fernando (SL),48967,2002-2002,2,108,4,27,2.76,58.5,0,0
MW Gatting (ENG),13340,1978-1995,79,317,4,79.25,2.52,188,0,0
AM Ghazanfar (AFG),1326798,2024-2024,1,161,4,40.25,4.43,54.5,0,0
IA Greig (ENG),13464,1982-1982,2,114,4,28.5,3.63,47,0,0
Harshit Rana (IND),1312645,2024-2024,2,203,4,50.75,4.51,67.5,0,0
